,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population
2172,Calhoun,Calhoun,Calhoun County,12013,FL,Florida,-7.875328723062076,6.461357960759088,13753
2173,Izard,Izard,Izard County,5065,AR,Arkansas,-2.186428723062072,-0.25484203924091275,13748
2174,Trinity,Trinity,Trinity County,48455,TX,Texas,-7.192528723062075,-3.4769420392409103,13735
2175,Converse,Converse,Converse County,56009,WY,Wyoming,4.690971276937923,-13.848642039240914,13729
2176,Stewart,Stewart,Stewart County,47161,TN,Tennessee,-1.7801287230620773,3.82015796075909,13724
2177,Oglala Lakota,Oglala Lakota,Oglala Lakota County,46102,SD,South Dakota,5.054271276937925,-10.893142039240914,13695
2178,Greene,Greene,Greene County,28041,MS,Mississippi,-7.067128723062073,3.0193579607590806,13672
2179,Winn,Winn,Winn Parish,22127,LA,Louisiana,-6.337128723062076,-0.9783420392409141,13665
2180,Comanche,Comanche,Comanche County,48093,TX,Texas,-6.333328723062074,-6.899642039240916,13651
2181,Breathitt,Breathitt,Breathitt County,21025,KY,Kentucky,-0.7597287230620751,8.334457960759082,13580
2182,Pend Oreille,Pend Oreille,Pend Oreille County,53051,WA,Washington,10.250971276937925,-25.615442039240918,13570
2183,Madison,Madison,Madison County,48313,TX,Texas,-7.315828723062076,-4.269842039240913,13556
2184,Grundy,Grundy,Grundy County,47061,TN,Tennessee,-2.8929287230620773,5.935957960759083,13550
2185,Martinsville,Martinsville,Martinsville City,51690,VA,Virginia,-1.5986287230620775,11.794957960759078,13539
